6,3818
7,3781
11,2654
13,2361
17,1967
19,1837
23,1687
25,1571
28,1427
30,1363
33,1319
36,1258
39,1167
40,813
42,1151
45,1083
47,1075
48,869
51,1043
52,875
52,1047
58,867
58,981
59,957
62,963
64,979
68,911
68,891
69,855
70,959
71,923
75,917
78,867
79,855
84,827
85,887
87,933
91,831
93,867
101,801
104,831
